# THE SUITE TABLE, machine record (ceo custody; hq_T wires util_score_row.py to rewrite a row when its runner measures). One row per suite. Dates are box-clock CDT days. first_* = the first graded reading on file; today_* = the latest reading; tree = the SCRIP hash it was measured on (or the SCORE.md cell that carries it).
key	nick	emoji	lang	first_date	first_pass	first_total	today_date	today_pass	today_total	tree	criterion_changed
gimpel	Gimpel	🎩	snobol4	2026-09-04	58	126	2026-09-13	126	132	aa4a139f4	2026-09-08:spitbol-recut-refs-cut-from-sbl-bf-the-one-oracle-lon-2026-09-07
csnobol4	Budne	🐍	snobol4	2026-09-04	55	118	2026-09-13	71	71	841b91dfc	2026-09-08:spitbol-recut-denominator-120-to-97-spitbol-refused-programs-left-the-baseline | 2026-09-13:DENOMINATOR-72-to-71-coo-board-841b91dfc-the-runner-walks-the-live-tree-and-excludes-rewind1-BY-NAME-oracle-died-graceful-fatal-report-no-ground-truth-to-grade-against-ALL.excluded.txt-line-53-my-earlier-70-of-72-counted-rewind1-INSIDE-the-denominator-⛔-the-identity-PASS+FAIL+OUTSIDE-BASELINE+UNGRADABLE+UNGRADED+DEFERRED==population-says-an-OUTSIDE-entry-STAYS-in-the-population-so-this-row-arguably-reads-71/72-with-OUTSIDE=1-not-71/71-ceo-ruling-asked-CEO-735-follow-on
snoflake	Flake	❄️	snobol4	2026-08-28	63	180	2026-09-13	118	124	aa4a139f4	2026-09-07:ceo-383-stream-equal-and-per-program
aisnobol	AIS	🤖	snobol4	2026-09-04	0	2	2026-09-13	5	7	aa4a139f4	2026-09-07:cto-6-the-spitbol-versions-are-the-graded-set
dotnet	Dotnet	🟦	snobol4	2026-09-04	5	5	2026-09-13	5	5	aa4a139f4	2026-09-07:ceo-372-and-per-program-hang-is-not-pass
testpgms	TPgm	🧪	snobol4	2026-09-08	1	2	2026-09-13	1	2	841b91dfc	2026-09-08:first-row-ceo-391-one-oracle-prior-cell-read-2-of-4-under-ceo-281-csnobol4-regrade
arizona	Zona	🌵	icon	2026-08-30	39	89	2026-09-13	88	88	112912014	2026-09-11:ceo-527-outside-arizona-baseline-denominator-90-to-88-libcfunc-so-ships-in-the-oracles-own-bin
jcon	Jcon	☕	icon	2026-08-30	34	81	2026-09-13	82	82	112912014	2026-09-09:ceo-470-outside-arizona-baseline-denominator-82-to-76-two-false-greens-left-the-baseline
ipl	IPL	📚	icon	2026-09-05	34	60	2026-09-13	194	194	112912014	2026-09-07:ceo-372-and-per-program
inria	INRIA	🇫🇷	prolog	2026-09-04	261	445	2026-09-13	432	445	62bad32d9	
swi	SWI	🦉	prolog	2026-09-05	0	114	2026-09-13	640	2935	dccc00c95	2026-09-12:hq-c-ceo-601-denominator-118-to-59-the-59-suite-lines-were-counted-twice-from-two-paths-and-the-row-is-the-run-tier | 2026-09-13:coo-board-dccc00c95-659-to-577-to-640-in-one-tick-the-577-dip-was-077a4e9dd-s-quoted-token-tightening-zeroing-FOUR-WHOLE-FILES-and-0f7e2b8df-returned-63-⛔-FOURTEEN-HELD-BY-RULING-NOT-BY-DEFECT-core/test_answer.pl-0-of-14-ORACLE-DIVERGENT-NOT-outside-baseline-cto-ruling-2026-09-13-CEO-542-says-OUTSIDE-BASELINE-is-when-the-ORACLE-REFUSES-what-we-have-here-the-ORACLE-IS-THE-ONE-OUTSIDE-accepting-a-raw-newline-in-a-quoted-token-that-ISO-6.4.2.1-FORBIDS-erasing-the-14-would-cost-FOUR-logtalk_iso-conformance-cases-WE-PASS-AND-THE-ORACLE-FAILS-lgt_atom_13-lgt_atom_14-lgt_double_quoted_term_13-lgt_double_quoted_term_14-anyone-proposing-to-cure-the-fourteen-is-proposing-to-fail-those-four-on-purpose
gnu	GNU	🐂	prolog	2026-09-03	6	62	2026-09-13	11	11	62bad32d9	
